Quels sont les principaux phénomènes à l'origine des trasnferts de chaleur sur Terre ?;Les mouvements de convection de l'air,La chaleur produite par l'industrie humaine,Les mouvements océaniques provoqués par des écarts de température,Les mouvements océaniques provoqués par des écarts de salinité,Le rayonnement solaire,Les gaz à effet de serre;a,c,d,e;solar_radiation_earth.jpg
A l'échelle de la planète, le stockage de la chaleur est majoritairement assuré par ?;l'atmosphère,les océans,la croûte terrestre,les glaciers;b;solar_radiation_earth.jpg
Le forçage radiatif lié aux activités humaines représente une densité de flux énergétique (en W/m²);largement supérieur à celle émise par le rayonnement solaire,Equivalente à celle émise par le soleil,largement inférieur à celle émise par le rayonnement solaire;c;question.jpeg
Quelles sont les autres dénominations de la molécule chimique CO2 ?;Monoxide de carbonne,Gaz fluoré,Gaz cafbonique,Oxyde nitreux,Dioxyde de carbonne;c,e;question.jpeg
Le méthane et les oxydes nitreux sont des gaz à effet de serre;Plus nocifs pour le climat mais générés de manière plus abondante que le CO2.,Plus nocifs pour le climat mais générés de manière moins abondante que le CO2.,Moins nocifs pour le climat mais générés de manière moins abondante que le CO2.;b;question.jpeg
Vrai ou Faux : la pulvérisation d'aérosols dans l'atmosphère (géo-ingénierie) permettrait de régler le problème du réchauffement climatique;Vrai,Faux;a;question.jpeg
Sélectionnez les affirmations correctes :;Il n'existe qu'un seul modèle climatique développé et validé,Les résultats de modélisation du climat ont une incertitude plus ou moins importante dont il faut tenir compte,La modélisation du climat futur est basée sur des projections possibles de nos modes de vie;b,c;question.jpeg
Sélectionnez l'affirmation correcte;Une valeur unique de PRG est attribué à chaque gaz à effet de serre,Plusieurs PRG sont attribués à chaque gaz à effet de serre en fonction d’une durée considérée.,Le PRG n'a aucun rapport avec les gaz à effet de serre,Le PRG est un facteur de conversion;b,d;question.jpeg
Le méthane a un PRG de 30 à 100 ans, cela signifie que :;Il contribue de 30% à l'augmentation de la température globale de la terre,Il est émis par l'homme 30 fois que les autres gaz,Il est 30 fois plus impactant pour le climat qu’une même masse de CO2;c;question.jpeg
Vrai ou Faux : d'un point de vue purement climatique, le secteur du transport maritime contribue à refroidir le climat.;Vrai,Faux;a;question.jpeg
Vrai ou Faux : les trainées de condensation émises par le secteur de l'aéronautique contribuent à refroidir le climat.;Vrai,Faux;b;question.jpeg
Vrai ou Faux : si nous réduisons nos émissions drastiquement maintenant, cela aura un impact bénéfique immédiat sur le climat.;Vrai,Faux;b;question.jpeg
Qu'est-ce que le budget carbone ?;Le prix fixé à l'échelle international pour les émissions d'une tonne de gaz à effet de serre,Une quantité maximale de gaz à effet qui ne doit pas être dépassée pour limiter la hausse de la température.;b;question.jpeg
Parmi ces propositions, où se trouve l’énergie finale ?;La production chimique d'hydrogène dans une raffinerie de pétrole,La puissance délivré par le moteur d'une voiture,Les KWh mesurés par le compteur Linky d’une habitation,La lumière émise par une lampe à led;c;question.jpeg
Vrai ou Faux : l'énergie primaire est toujours supérieure à l'énergie finale;Vrai,Faux;a;question.jpeg
Vrai ou Faux : l'énergie finale est toujours supérieure à l'énergie utile.;Vrai,Faux;a;question.jpeg
Sélectionnez les affirmations correctes :;L'électricité est une énergie primaire,L'électricité est une source de matière première,L’électricité est un vecteur d’énergie,L'électricité est un gaz à effet de serre;c;question.jpeg
Sélectionnez les affirmations correctes :;L'hydrogène est une énergie primaire,L’hydrogène est une ressource de matière première,L’hydrogène est un vecteur d’énergie,L'hydrogène est un gaz à effet de serre;b,c;question.jpeg
Qu'est-ce que l'énergie grise ?;L’énergie consommée pour produire un bien, du berceau à la tombe, hors utilisation,L'énergie consommé pour produire un bien du berceau à la tombe utilisation incluse,L'énergie issue des ressources fossiles à l'inverse de lénergie verte;a;question.jpeg
Vrai ou Faux : avec la croissance des usages, les data centers sont de plus en plus consommateurs d'énergie.;Vrai,Faux;b;question.jpeg
Vrai ou Faux : L'équipement de climatiseurs dans les foyers dans les années à venir représente des sources d'émissions de gaz à effet de serre préoccupantes.;Vrai,Faux;a;question.jpeg
